day,z_f_1,z_f_2,z_f_3,z_f_4,z_f_5,z_f_6,z_f_7,z_f_8
3160,0.032798048,0.14356938,-0.124588795,0.14408869,-0.4582478,0.13116233,-0.16522647,-0.03418985
3180,0.1095814,-0.00930867,-0.16872351,0.026255153,-0.32083988,0.121679634,-0.012200639,0.038612023
3200,0.053659733,0.12139353,-0.10292762,0.09185903,-0.44933727,0.15368268,-0.14985411,-0.008845933
3220,0.111227766,-0.0040294714,-0.16820729,0.035544686,-0.32981646,0.13122386,-0.015324116,0.038118556
3240,0.08017154,0.059923556,-0.15563907,0.07971976,-0.38824266,0.15416822,-0.10016106,0.03506769
3260,0.045284595,0.1348863,-0.119028755,0.12625104,-0.45410588,0.13985889,-0.15363497,-0.028400257
3280,0.10359227,-0.023777235,-0.18328612,0.01161037,-0.30808637,0.10198924,0.013049666,0.034325607
3300,0.06227102,0.11221674,-0.13874453,0.112975225,-0.4620355,0.16139439,-0.1658141,-0.014057312
3320,0.105372205,0.023699708,-0.16399065,0.03366711,-0.35944027,0.12050871,-0.06457135,0.01875403
3340,0.08447015,0.053679977,-0.18719214,0.06185875,-0.40903002,0.14750832,-0.0988311,0.03868725
3360,0.057019282,0.1374616,-0.11894104,0.12248796,-0.4711384,0.148651,-0.16316512,-0.025999703
3380,0.068785004,0.09662116,-0.15058452,0.097398534,-0.43794146,0.12850699,-0.1286078,-0.041580863
3400,0.042930022,0.10598277,-0.15505853,0.09526179,-0.43869093,0.120234795,-0.14483897,-0.051828712
3420,0.046374027,0.10670741,-0.15957029,0.09609549,-0.44693783,0.12224741,-0.14117932,-0.056164965
3440,0.06686832,0.070352584,-0.18564966,0.077846095,-0.420063,0.102849156,-0.07893656,-0.051363647
3460,0.05397483,0.10095189,-0.19954419,0.11000105,-0.45419607,0.11111414,-0.10495633,-0.056992486
3480,0.042138305,0.12018234,-0.20347777,0.12862103,-0.46508202,0.105054714,-0.11420168,-0.069377966
3500,0.05673421,0.08990248,-0.2063779,0.10193845,-0.4422391,0.09413093,-0.081331775,-0.066420436
